전자정보통신 약어정리

 	(‘*’표는 통신에 주로 사용되는 약어임)
APR 	Alternate Path Retry
APRXLY 	Approximately (computer language)
APS 	Automatic Protection Switching
APS 	Auxiliary Program Storage, 보조 프로그램 저장
APS 	Auxiliary Publications Service (ASIC)
APSK 	Amplitude Phase Shift Keying, 진폭 위상 이동 변조, 진폭 위상 편이 키잉
APT 	Asia Pacific Telecommunity, 아?태 지역 전기 통신 협의체
APT 	Automatically Programmed Tool, 수치제어공작시스템, 수치제어 문제용언어, 자동프로그램 도구
APTS 	Automatic Picture Transmission System
APU 	ATMizer Processing Unit
APUD 	Application Protocol User Data, 응용 프로토콜 사용자 데이터
APUHS 	Automatic Program Unit, High Speed, 고속 자동 프로그램 장치
APULS 	Automatic Program Unit, Low Speed, 저속 자동 프로그램 장치
AQ 	Adaptive Quantization, 적응 양자화
AQ 	Any Quantity
AQF 	Forward Adaptive Quantization, 순방향 적응 품질
AR 	Activity Resume
AR 	Argument Register, 증명 레지스터
AR 	Auto-Regressive, 자동 회귀
AR 	Autonomous Registration, 단말기에서 식별번호를 기지국으로 송출*
AR 	Autoregressive, 자동 회귀
AR 	Axial Ratio, 축 속도
ARA 	AppleTalk Remote Access, 애플토크 원격 접속
ARAEN 	Appareil de Reference pour la determination des AEN, AEN 결정용 기준 장치
ARAM 	Analog Random Access Memory, 아날로그 램
ARB 	Address Reorder Buffer, 어드레스 리오더 버퍼
ARC 	Audio Response Control, 음성 응답 제어
ARCH 	Access Response Channel
ARCnet 	Attached Resource Computer Network, 에이아르시네트
ARD 	Allcache Routing and Directory cell
ARDIS 	Advanced Radio Data Information System
ARE 	Advanced Real-time Executive, 개선된 실시간 실행
ARE 	Audio Response Equipment, 음성 응답 장치
ARE 	Automated Responsive Environment, 자동 응답 환경
AREA 	Association of Records, Executives and Administrators
ARF 	Access link Relay Function (IMT-2000)
ARF 	Access Relay Function (IMT-2000)
ARG 	Argument, 증명
ARGUS 	Automatic Routine Generating and Updating System
ARI 	Aspect Ratio Information, 화소의 종횡비 혹은 표시화면비를 표시 (MPEG)
ARL 	Association of Research Libraries
ARM 	Advanced RISC Machine
ARM 	Asynchronous Response Mode*, 비동기 응답 방식, 비동기 응답 모드
ARM 	Auto Reload Mode, 자동 리로드 모드
ARM 	Auto-Regressive Model, AR 모델
ARM 	Automated Route Management (IBM)
ARMA 	American Records Management Association
AROM 	Autonomous Registration Overhead Message
ARP 	Address Resolution Protocol*, 에이아르피, 어드레스 도출 프로토콜, 번지도출규약
ARPA 	Advanced Research Project Agency
ARPA 	Advanced Research Projects Agency*
ARPANET 	Advanced Research Projects Agency Network, 아르파넷
ARPANet 	ARPA Network
ARQ 	Automatic Repeat Request, 자동 반복 요청, 데이터 재전송 방식
ARQ 	Automatic Repeat reQuest, 재송 정정 방식
ARR 	Automatic Ring Recovery, IMS 운용 소프트웨어
ARS 	Adverse environment Recognition of Speech
ARS 	Audio Response System, 음성응답시스템
ARS 	Automatic Response System, 자동(음성) 응답 시스템 (음성)
ARSR 	Air-Route Surveillance Radar, 항공로 감시 레이더
ARTIC 	Associometrics Remote Terminal Inquiry Control System
ARTOC 	Army Tactical Operations Center
ARTS 	Advanced Radar Tracking Control System (UNIVAC)
ARTS 	American Radio Telephone Service*
ARTS 	Asynchronous Remote Teleover Server
ARTS 	Automated Radar Terminal System, 자동 레이더 단말 시스템
ARTT 	Asynchronous Remote Takeover Terminal
ARU 	Audio Response Unit, 음성 응답 장치
AS 	Accounting Server
AS 	Acoustic Space, 음성 공간
AS 	Activity Start
AS 	Add-Subtract, 가감산
AS 	Address Strobe, 어드레스 스트로브
AS 	Alternate Scan, 대체스캔 (MPEG)
AS 	Anti-Spoofing
AS 	Application Service, 응용 서비스
AS 	Automatic Simulcasting, 자동 동시 송출, 자동 송출
AS 	Autonomous System, 자동 시스템
ASA 	American Standards Association, 미국 규격 협회
ASA 	Auditory Scene Analysis, 청각 장면 분석 (음성)
ASAE 	American Society of Agricultural Engineers
ASAP 	Application Service Access Point, 응용 서비스 액세스 점
ASBO 	Association of School Business Officials
ASC 	Accredited Standards Committee
ASC 	Advanced Scientific Computer
ASC 	American Society for Cybernetics, 미국 인공두뇌학회
ASC 	Associative Structure Computer
ASC 	Atlantic Systems Conference
ASC 	Automatic Selectivity Control, 자동 선택 제어
ASC 	Automatic Synchronized Control, 자동 동기 제어
ASC 15 	Advanced System Controller Model 15
ASCATS 	Apollo Simulation Checkout and Training System
ASCC 	Automatic Sequence Controlled Calculator (also called MARK 1)
ASCE 	American Society of Civil Engineers, 미국 건축학회
ASCENT 	Assembly System Central Processor (CDC 6000 series)
ASCII 	American Standard Code for Information Interchange, 미국정보교환표준코드
ASCM 	Access Switching Control Module (IMT-2000)
ASD 	Automatic Synchronized Discriminator, 자동 동기 식별기
ASDE 	Airport Surface Detection Equipment, 공항면 탐지 레이더
ASDM 	Asynchronous Space Division Multiplexing*
ASDU 	Application Service Data Unit, 응용 서비스 데이터 단위
ASE 	Application Service Element*, 응용 서비스 요소
ASE 	Automatic Support Equipment
ASEB 	Application Service Element block (IMT-2000)
ASEE 	American Society for Engineering Education
ASF 	Additional Secondary Phase Factor
ASF 	Automatic System Facility, 자동 시스템 설비
ASGN 	Assign, 할당
ASI 	American Standards Institute, 미국 표준 연구소
ASI 	Analog Subscriber Interface, 아날로그 가입자 인터페이스
ASI 	Asynchronous-Synchronous Interface, 비동기-동기 인터페이스
ASIC 	Applicable Specific Integrated Circuit, 에이직, 응용 주문형(특용) 집적회로, 적용가능한 특수집적회로, 특정용도지향 반도체
ASIP 	Access Switching Interface Processor, 액세스 교환 정합 프로세서
ASIP 	Analog Subscriber Interface Processor, 아날로그 가입자 인터페이스 프로세서
ASIST 	Advanced Scientific Instruments Symbolic Translator
ASK 	Amplitude Shift Keying*, 진폭 이동 변조, 진폭편이키잉
ASL 	Action Status List, 실행 상태 목록
ASL 	Adaptive Speed Leveling
ASL 	Architecture for Speech and Language research (독일)
ASL 	Association for Symbolic Logic
ASLM 	Apple Shared Library Manager
ASLT 	Advanced Solid Logic Technology
ASM 	Auxiliary Storage Manager, 보조 기억 관리 프로그램
ASME 	American Society of Mechanical Engineers
ASMI 	Access Subsystem Maintenance Interface
ASMI 	Access Switch Maintenance Interface*
ASMP 	Access Subsystem Maintenance Processor
ASMP 	Access Switch Maintenance Processor*
ASMP 	Access Switching Maintenance Processor*
ASMS 	Access Switching Maintenance Subsystem
ASN 	Abstract Syntax Notation, 추상 구문 표기, 추상 구문 기법
ASN 	Average Sample Number
ASN.1 	Abstract Syntax Notation One, 추상 구문 표기 1
ASN1 	Abstract Syntax Notation 1, 추상 구문 표기 1
ASNE 	American Society of Naval Engineers
ASNM 	Access Switch Network Module (IMT-2000)
ASOCIO 	Asia Oceania Computing Industry Organization, 어소시오, 아시아-오세아니아 컴퓨터 기업 연합
ASOP 	Automatic Scheduling and Operating Program
ASP 	Access Switching Processor, 정합 교환 프로세서*
ASP 	Access Switching Subsystem Processor, 정합 교환 서브시스템 프로세서
ASP 	Access Switching Subsystem Processor, 정합 서브시스템 프로세서*
ASP 	Acquisition & Synchronization Processor
ASP 	Adjacent Signaling Point, 신호링크가 바로 연결되는 인접교환국
ASP 	Alarm Status Panel, 알람 상태 패널
ASP 	Application Service Part, 응용 서비스부
ASP 	Associated Based Parser (음성)
ASP 	Attached Support Processor, 부가 지원 처리기
ASP-M 	Access Switching Process Mobile
ASP-S 	Access Switching Process Subscriber
ASP-T 	Access Switching Processor Trunk
ASPA 	American Society for Public Administration
ASPAC 	Application Specific Package, 아스팩, 응용 주문형 패키지
ASPEP 	Association of Scientists and Professional Engineering Personnel
ASPER 	Assembly System Peripheral Processors (CDC 6000 Series)
ASQC 	American Society for Quality Control, 미국 품질 제어 학회
ASR 	Airport Surveillance Radar, 공항 감시 레이더
ASR 	Automatic Send-Receive, 자동 송?수신 장치
ASR 	Automatic Send/Receive, 자동 송?수신 장치
ASR 	Automatic Speech Recognition (음성)
ASS 	Access Switch Subsystem
ASS 	Access Switching Subsystem, 가입자 교환 서브시스템*
ASS 	Administration Support System, 종합 유지 보수 장치
ASS-7 	Access Switching Subsystem for No.7 Signaling, No.7 신호 정합 서브시스템
ASS-7 	ASS for No.7
ASS-F 	Access Switching Subsystem for Frame relay
ASS-M 	ASS Mobile
ASS-P 	ASS for Packet Switching, 패킷 정합 교환 서브 시스템
ASS-PT 	Access Switch Subsystem for Paging Terminal, 페이징 가입자 수용 서브시스템
ASS-S 	ASS for Subscriber lines, 가입자 라인에 대한 ASS
ASS-S/T 	Access Switch Subsystem for lines trunks, 일반전화가입자 & 중계선수용서브시스템
ASS-ST 	Access Switch Subsystem for lines trunks, 일반전화가입자 & 중계선수용서브시스템
ASS-T 	Access Switch Subsystem for trunks, 디지털 중계선 수용 서브시스템
ASS-T 	ASS for Trunks, 중계선 정합 교환 서브 시스템
ASS-V/F 	Access Switching Subsystem - Voice/Fax mail
ASS-VMS 	Access Switch Subsystem for Voice Mail Service, 음성사서함시스템 정합서브시스템
ASS-W 	Access Switch Subsystem for Wireless
ASS-αPT 	Access Switching Subsystem for Alpha numeric Paging Terminal, 문자 서비스 페이징 가입자 수용 서브시스템
ASSE 	American Society of Safety Engineers, 미국 안전 공학회
ASSP 	Application Specific Standard Product, 에이에스에스피, 전용표준품명세
ASSR 	Acquisition & Steady State Reception
ASS_M 	Access Switch Subsystem for Mobile Subscribers
ASTA 	Advanced Software Technology and Algorithms
ASTD 	American Society for Training and Development
ASTIA 	Armed Services Technical Information Agency
ASTM 	American Society for Testing Materials
ASTME 	American Society of Tool and Manufacturing Engineers
ASTRAL 	Alliance for Strategic Token Ring Advancement and Leadership
ASTRAL 	Analog Schematic Translator to Algebraic Language
ASU 	Acquisition and Synchronization Unit
ASV 	Across Speaker Variability, 화자간 변이 (음성)
ASV 	Automatic Self-Verification
ASVIP 	American Standard Vocabulary for Information Processing
ASW 	All Seems Well, 올 심즈 웰
ASYNC 	Asynchronous Communication, 비동기 통신*
AS_Control 	Application Specific Control (IMT-2000)
AT 	Advanced Technology
AT 	Alerting Tone
AT 	Ampere Turns, 암페어 턴
AT 	Atomic Time, 원자 시간
AT&T 	American Telephone and Telegraph, 미국 전화 전신 회사, 에이티엔티
AT-Bus 	Advanced Technology Bus
ATA 	Advanced Technology Attachment
ATA 	Air Transport Association
ATA 	Associate in Technical Arts
ATA DTD 	American Transportation Association Document Type Definition
ATAPI 	AT Attachment Packet Interface
ATAR 	Automated Travel Agents Reservation
ATB 	Address Translation Buffer, 어드레스 변환 버퍼
ATB 	All Trunk Busy, 전회선 통화 중
ATC 	Adaptive Transform Coding*, 적응 변환 부호화
ATC 	Air Traffic Control, 항공 교통 관제
ATC 	Automation Training Center
ATD 	Asynchronous Time Division, 비동기식 시분할*
ATDM 	Asynchronous Time Division Multiplexing, 비동기식 시분할 다중화*
ATDMA 	Advanced Time Division Multiple Access
ATDS 	Airborne Tactical Data System
ATE 	Automatic Test Equipment, 자동 시험 장치
ATF 	Automatic Track Finding
ATHS 	Application Service Element and Transaction Capabilities Application Part Handling Subsystem
ATHS 	ASE and TCAP Handling Subsystem
ATI 	Automatic Telephone Interpretation, 자동 통역 전화 (음성)
ATIF 	ASE TCAP Interface
ATIS 	Air Travel Information Service, 항공 운항 정보 서비스 (음성)
ATIS 	Alliance for Telecommunications Industry Solutions
ATLAS 	Automatic Test Language for Avionics Systems
ATM 	Adobe Type Manager, 아도비 타이프 매니저
ATM 	Asynchronous Transfer Mode, 비동기 전송 방식, 비동기식 전달방식
ATM 	Automatic Teller's System, 자동 거래 단말기, 자동 예금 지급기
ATM-NIC 	ATM Network Interface Card
ATM-PDU 	ATM Protocol Data Unit
ATM-XC 	ATM crossconnect*
ATMARP 	ATM Address Resolution Protocol
ATMF 	Asynchronous Transfer Mode Forum, ATM 포럼
ATMR 	ATM Ring
ATMR 	ATM Ring System, ATM 링 시스템, 비동기 전송 링 시스템
ATOLL 	Acceptance Test or Launch Language
ATP 	Air interface Test Platform (IMT-2000)
ATP 	AppleTalk Protocol, 애플토크 프로토콜
ATP 	AppleTalk Transaction Protocol, 애플토크 트랜잭션 프로토콜
ATP 	Automated Test Plan
ATPG 	Automatic Test Pattern Generator, 자동 테스트 패턴 생성기
ATR 	Advanced Telecommunications Research institute (일본)
ATR 	Automatic Traffic Rearrangement
ATRAC 	Adaptive Transform Acoustic Coding, 적응 변환 음향 부호화
ATRK 	Analog Trunk, 아날로그 트렁크
ATS 	Administrative Terminal System, 사무 관리용 단말 시스템
ATSC 	Advanced Television Systems Committee
ATT 	Asynchronous Transport Telematics
ATT 	Attendant
ATTC 	Advanced Television Test Center, 차세대 텔레비전 시험 센터
ATTM 	Automatic Trunk Testing and Transmission Measuring Equipment, 시회 회선 자동 시험 장치
ATU 	ADSL Transfer Unit
ATU-C 	ADSL Terminal Unit Central Office
ATU-M 	ADSL Terminal Unit Central Office Maintenance Unit
ATU-R 	ADSL Terminal Unit Central Office Receive Unit
ATU-R 	ADSL Terminal Unit Receive Office
ATV 	Advanced Television, 차세대 텔레비전 (미국)
ATV 	Advanced TV, 고화질 텔레비전, 차세대 텔레비전 (미국)
AU 	Access Unit, 액세스 장치
AU 	Acoustic Unit, 음향 단위 (음성)
AU 	Administrative Unit, 관리 유닛
AU 	Arithmetic Unit, 산술 장치
AUC 	Authorization Code, 가입자 인증 장치
AUG 	Administrative Unit Group, 관리 장치 그룹
AUI 	Attachment Unit Interface*, 보조 장치 인터페이스
AUP 	Acceptable Use Policy, 제한적 사용 정책, 허용 범위 내 사용 방침
AURP 	Apple talk Update Routing Protocol, 애플토크 루팅 프로토콜
AUTH 	Authentication
AUTH-REQ 	Authentication Request information element
AUTH-REQ 	Authentication Request information element
AUTODIN 	AUTOmatic DIgital Network, 자동 디지털 망
AUU 	ATM User to User
Aux 	Auxiliary Information
AV 	Audio-Video, 오디오-비디오
AV 	Average Value, 평균치
AVATAR 	Advanced Video Attribute Terminal Assembler and Recreator
AVC 	Automatic Volume Control, 자동 볼륨 제어
AVD 	Alternate Voice and Data, 음성 데이터 교호(交互) 작용
AVD 	Alternate Voice Data
AVD 	Alternate Voice/Data service
AVE 	Automatic Volume Expansion
AVEC 	Auto VECtor
AVI 	Audio Video Interleave, 오디오 비디오 인터리브
AVI 	Audio Video Interleaving, 음성-화상 압축 규격, 오디오 비디오 인터리빙
AVL 	Adelson-Velskii and Landis
AVL 	Automatic Vehicle Location, 자동 위치 측정 시스템
AVM 	Automatic Vehicle Monitoring
AVR 	Automatic Voltage Regulator, 자동 전압 조정 장치
AVT 	Audio-Video Transport*
AWB 	Action Work Bit, 동작 중 비트
AWCS 	Air Weapons Control System, 공중 무기 제어 시스템
AWGN 	Additive White Gaussian Noise, 덧셈성 백색가우스잡음, 가산성 백색가우시안잡음, 부가적 가우스잡음
AX 	Accumulator register of the 8088 microprocessor
AXCH 	Access Channel
AXD 	Auxiliary Drum, 보조 드럼
AZ 	Azimuth, 방위
AZPA 	Auroral Zone Phase Anomaly, 극광대 위상 이상
A_Slot 	Active Slot, 액티브 슬롯
